source,target,weight
"(121.43,31.275)","(121.43799999999999,31.281)",0.00999999999998522
"(121.413,31.195999999999998)","(121.415,31.2)",0.004472135955005045
"(121.43,31.266)","(121.419,31.275)",0.014212670403559767
"(121.479,31.233)","(121.48299999999999,31.221)",0.012649110640671
"(121.449,31.23)","(121.434,31.239)",0.017492855684536564
"(121.367,31.139)","(121.363,31.131999999999998)",0.008062257748302232
"(121.396,31.156)","(121.4,31.135)",0.021377558326430155
"(121.492,31.271)","(121.51,31.253)",0.025455844122716675
"(121.387,31.109)","(121.389,31.103)",0.0063245553203355
"(121.45299999999999,31.238000000000003)","(121.435,31.215)",0.02920616373301468
"(121.45200000000001,31.23)","(121.459,31.22)",0.012206555615729704
"(121.485,31.305999999999997)","(121.479,31.311)",0.007810249675908466
"(121.416,31.175)","(121.40899999999999,31.179000000000002)",0.008062257748303556
"(121.541,31.299)","(121.538,31.32)",0.021213203435597232
"(121.42200000000001,31.279)","(121.42299999999999,31.268)",0.011045361017184356
"(121.495,31.26)","(121.49,31.265)",0.007071067811871605
"(121.523,31.302)","(121.527,31.264)",0.038209946349086366
"(121.384,31.319000000000003)","(121.37299999999999,31.313000000000002)",0.01252996408615046
"(121.445,31.224)","(121.441,31.225)",0.004123105625608913
"(121.485,31.201999999999998)","(121.494,31.208000000000002)",0.010816653826394348
"(121.426,31.224)","(121.446,31.217)",0.021189620100413815
"(121.434,31.201)","(121.43,31.21)",0.00984885780179263
"(121.426,31.351)","(121.39299999999999,31.34)",0.034785054261866594
"(121.431,31.331999999999997)","(121.43700000000001,31.338)",0.008485281374251452
"(121.47,31.305999999999997)","(121.47399999999999,31.315)",0.009848857801795877
"(121.541,31.283)","(121.544,31.285)",0.003605551275463469
"(121.47399999999999,31.211)","(121.48299999999999,31.213)",0.009219544457293751
"(121.49799999999999,31.346999999999998)","(121.48100000000001,31.344)",0.017262676501613446
"(121.366,31.237)","(121.365,31.238000000000003)",0.0014142135623798477
"(121.39299999999999,31.228)","(121.406,31.23)",0.01315294643798495
"(121.375,31.247)","(121.376,31.25)",0.0031622776601699975
"(121.536,31.333000000000002)","(121.538,31.323)",0.010198039027186188
"(121.461,31.201999999999998)","(121.43,31.226999999999997)",0.0398246155034724
"(121.476,31.252)","(121.46,31.256999999999998)",0.016763054614245012
"(121.506,31.293000000000003)","(121.51299999999999,31.296)",0.0076157731058540895
"(121.413,31.299)","(121.419,31.289)",0.011661903789689012
"(121.51299999999999,31.307)","(121.505,31.316)",0.012041594578789606
"(121.491,31.229)","(121.48,31.224)",0.012083045973590228
"(121.485,31.319000000000003)","(121.47399999999999,31.334)",0.018601075237741717
"(121.434,31.191)","(121.435,31.201)",0.010049875621122922
"(121.538,31.32)","(121.52600000000001,31.316)",0.01264911064066089
"(121.331,31.184)","(121.32799999999999,31.183000000000003)",0.0031622776601812315
"(121.53399999999999,31.261)","(121.53299999999999,31.268)",0.007071067811867586
"(121.42200000000001,31.264)","(121.427,31.269000000000002)",0.0070710678118640685
"(121.44200000000001,31.224)","(121.43799999999999,31.228)",0.0056568542495068295
