label,lng,lat
"(121.348,31.389)",121.348,31.389
"(121.508,31.279)",121.508,31.279
"(121.383,31.254)",121.383,31.254
"(121.484,31.32)",121.484,31.32
"(121.40700000000001,31.291999999999998)",121.40700000000001,31.291999999999998
"(121.488,31.224)",121.488,31.224
"(121.445,31.176)",121.445,31.176
"(121.369,31.252)",121.369,31.252
"(121.529,31.324)",121.529,31.324
"(121.46700000000001,31.32)",121.46700000000001,31.32
"(121.514,31.307)",121.514,31.307
"(121.385,31.166)",121.385,31.166
"(121.419,31.291999999999998)",121.419,31.291999999999998
"(121.551,31.279)",121.551,31.279
"(121.52799999999999,31.309)",121.52799999999999,31.309
"(121.413,31.358)",121.413,31.358
"(121.59,31.243000000000002)",121.59,31.243000000000002
"(121.48299999999999,31.278000000000002)",121.48299999999999,31.278000000000002
"(121.44200000000001,31.264)",121.44200000000001,31.264
"(121.43700000000001,31.294)",121.43700000000001,31.294
"(121.46600000000001,31.185)",121.46600000000001,31.185
"(121.384,31.188000000000002)",121.384,31.188000000000002
"(121.38799999999999,31.268)",121.38799999999999,31.268
"(121.432,31.18)",121.432,31.18
"(121.51299999999999,31.302)",121.51299999999999,31.302
"(121.382,31.246)",121.382,31.246
"(121.36399999999999,31.248)",121.36399999999999,31.248
"(121.506,31.329)",121.506,31.329
"(121.464,31.193)",121.464,31.193
"(121.53299999999999,31.318)",121.53299999999999,31.318
"(121.506,31.148000000000003)",121.506,31.148000000000003
"(121.40299999999999,31.163)",121.40299999999999,31.163
"(121.30799999999999,31.244)",121.30799999999999,31.244
"(121.47,31.226)",121.47,31.226
"(121.411,31.274)",121.411,31.274
"(121.476,31.27)",121.476,31.27
"(121.5,31.302)",121.5,31.302
"(121.50399999999999,31.305)",121.50399999999999,31.305
"(121.459,31.296999999999997)",121.459,31.296999999999997
"(121.40100000000001,31.14)",121.40100000000001,31.14
"(121.43700000000001,31.16)",121.43700000000001,31.16
"(121.477,31.267)",121.477,31.267
"(121.436,31.328000000000003)",121.436,31.328000000000003
"(121.431,31.265)",121.431,31.265
"(121.434,31.201)",121.434,31.201
"(121.353,31.17)",121.353,31.17
"(121.27,31.166999999999998)",121.27,31.166999999999998
"(121.478,31.289)",121.478,31.289
"(121.447,31.319000000000003)",121.447,31.319000000000003
