label,lng,lat
"(121.53299999999999,31.268)",121.53299999999999,31.268
"(121.427,31.269000000000002)",121.427,31.269000000000002
"(121.43799999999999,31.228)",121.43799999999999,31.228
"(121.485,31.302)",121.485,31.302
"(121.333,31.258000000000003)",121.333,31.258000000000003
"(121.459,31.254)",121.459,31.254
"(121.493,31.23)",121.493,31.23
"(121.516,31.28)",121.516,31.28
"(121.556,31.285999999999998)",121.556,31.285999999999998
"(121.42,31.198)",121.42,31.198
"(121.45299999999999,31.334)",121.45299999999999,31.334
"(121.444,31.258000000000003)",121.444,31.258000000000003
"(121.397,31.247)",121.397,31.247
"(121.521,31.291)",121.521,31.291
"(121.52799999999999,31.309)",121.52799999999999,31.309
"(121.53,31.308000000000003)",121.53,31.308000000000003
"(121.46799999999999,31.27)",121.46799999999999,31.27
"(121.37799999999999,31.233)",121.37799999999999,31.233
"(121.53,31.261)",121.53,31.261
"(121.435,31.197)",121.435,31.197
"(121.545,31.285)",121.545,31.285
"(121.415,31.2)",121.415,31.2
"(121.531,31.309)",121.531,31.309
"(121.539,31.285999999999998)",121.539,31.285999999999998
"(121.479,31.307)",121.479,31.307
"(121.42,31.121)",121.42,31.121
"(121.49700000000001,31.3)",121.49700000000001,31.3
"(121.42200000000001,31.266)",121.42200000000001,31.266
"(121.514,31.276999999999997)",121.514,31.276999999999997
"(121.59,31.26)",121.59,31.26
"(121.48200000000001,31.203000000000003)",121.48200000000001,31.203000000000003
"(121.53200000000001,31.316999999999997)",121.53200000000001,31.316999999999997
"(121.367,31.214000000000002)",121.367,31.214000000000002
"(121.485,31.201999999999998)",121.485,31.201999999999998
"(121.51799999999999,31.294)",121.51799999999999,31.294
"(121.43299999999999,31.285999999999998)",121.43299999999999,31.285999999999998
"(121.37100000000001,31.248)",121.37100000000001,31.248
"(121.434,31.168000000000003)",121.434,31.168000000000003
"(121.39200000000001,31.090999999999998)",121.39200000000001,31.090999999999998
"(121.475,31.323)",121.475,31.323
"(121.506,31.302)",121.506,31.302
"(121.544,31.273000000000003)",121.544,31.273000000000003
"(121.538,31.276999999999997)",121.538,31.276999999999997
"(121.406,31.238000000000003)",121.406,31.238000000000003
"(121.50399999999999,31.273000000000003)",121.50399999999999,31.273000000000003
"(121.39200000000001,31.268)",121.39200000000001,31.268
"(121.445,31.195999999999998)",121.445,31.195999999999998
"(121.491,31.27)",121.491,31.27
"(121.53399999999999,31.331)",121.53399999999999,31.331
"(121.484,31.323)",121.484,31.323
"(121.48,31.269000000000002)",121.48,31.269000000000002
"(121.444,31.266)",121.444,31.266
